Cod partener,Nr.contract,Adresa partener,Contract start,Stare,Contract end,Cod produs,Tip produs,UM,Valuta,Pret contractat,Pret mediu factura,Cantitate facturat total
29488032,1452,"…. - PROFESOR VASILE PETRESCU, IASI",31-Aug-2016,Valid,31.08.2019,SGF_288,Marfa,KG,EUR,31.36,0,8
29488032,1452.1,"…. - NTESC TUDOR VLADIMIRESCU, IASI",5-Oct-2016,Valid,09.10.2019,SGF_29P,Marfa,Cut,EUR,54.98,39.23,1
27248513,1223,"…. -  SEDIU CENTRAL, JIANU, SLATINA",21-Sep-2015,Valid,30.09.2018,SGF_286_7515,Marfa,KG,EUR,26.88,21.56,16
27248513,1223,"…. -  SEDIU CENTRAL, JIANU, SLATINA",21-Sep-2015,Valid,30.09.2018,SGF_288,Marfa,KG,EUR,31.36,23.03,99
17392219,2282,"…. - ADOV, B-DUL REPUBLICII, RESITA",5-May-2022,Draft,04.05.2025,SGF_269_1100,Marfa,KG,EUR,28.86,25.77,6
15574648,927,"…. - URESTI, STR. SECUILOR, SECTOR3",11-Mar-2014,Valid,20.02.2017,SGF_288,Marfa,KG,EUR,33.87,25.02,35
32066780,875,"…. - ediu, STR. VIITORULUI, CAMPINA",3-Oct-2013,Valid,03.10.2013,SGF_288,Marfa,KG,EUR,33.87,26,6
26209427,1841,"…. - E - CAFE BOSS, A IV-A, SACALAZ",17-Apr-2018,Anulat,31.05.2021,SGF_288,Marfa,KG,EUR,31.36,24,27
36401127,1500,"…. - HAI VITEAZUL, SFANTU  GHEORGHE",8-Nov-2016,Valid,09.11.2021,SGF_288,Marfa,KG,EUR,33.87,26.01,34
33309046,2453,"…. -  AS, DAMSESCU, SANNICOLAU MARE",17-Nov-2023,Valid,19.11.2026,SGF_2V1_1990,Marfa,KG,EUR,22,20,11
37378065,1614,"…. - Ecaterina Teodoroiu, TARGU JIU",6-Jun-2017,Valid,09.06.2020,SGF_288,Marfa,KG,EUR,31.36,23.4,511
34773264,1194,"…. - CENTRAL, CALIMAN, MOSNITA NOUA",11-Aug-2015,Valid,22.08.2019,SGF_286_7515,Marfa,KG,EUR,24.64,22,6
34773264,1194,"…. - CENTRAL, CALIMAN, MOSNITA NOUA",11-Aug-2015,Valid,22.08.2019,LSM_202033,Obiecte inventar,BUC,EUR,104,96.76,1
34773264,1194,"…. - CENTRAL, CALIMAN, MOSNITA NOUA",11-Aug-2015,Valid,22.08.2019,LSM_207080/AA085T0ME02000,"Echipamente tehnologice (masini, utilaje si instalatii de lucru)",BUC,EUR,"4,755.00","4,423.98",1
34773264,1534,"…. - CENTRAL, CALIMAN, MOSNITA NOUA",10-Feb-2017,Valid,31.07.2021,SGF_2V1_1990,Marfa,KG,EUR,21.32,16.02,413
34773264,1534,"…. - CENTRAL, CALIMAN, MOSNITA NOUA",10-Feb-2017,Valid,31.07.2021,LSM_202033,Obiecte inventar,BUC,EUR,104,96.76,1
34773264,1534,"…. - CENTRAL, CALIMAN, MOSNITA NOUA",10-Feb-2017,Valid,31.07.2021,LSM_207080/AA085T0ME02000,"Echipamente tehnologice (masini, utilaje si instalatii de lucru)",BUC,EUR,"4,755.00","4,423.98",1
44286410,2277,"…. -  C/C DRUMUL DE CULTURA, GALATI",19-Apr-2022,Valid,18.04.2025,SGF_2V1_1990,Marfa,KG,EUR,17.92,16,8
44286410,2277,"…. -  C/C DRUMUL DE CULTURA, GALATI",19-Apr-2022,Valid,18.04.2025,SGF_269_1100,Marfa,KG,EUR,29.12,26,16
30829486,1104,"…. - PUB CHEERS, BASARABIEI, GALATI",30-Mar-2015,Valid,19.03.2018,SGF_288,Marfa,KG,EUR,35.12,25.41,17
